Type,Sex,Speaker,Vowel,IPA,F0,F1,F2,F3
m,m,3,uh,\hs,114,456,1030,2300
m,m,3,uw,u,112,340,950,2240
m,m,3,uw,u,112,326,900,2190
m,m,3,er,\er\hr,100,500,1370,1780
m,m,3,er,\er\hr,106,530,1330,1800
m,m,4,iy,i,150,300,2240,3400
m,m,4,iy,i,156,280,2450,3200
m,m,4,ih,\ic,156,450,1960,2400
m,m,4,ih,\ic,146,440,2050,2360
m,m,4,eh,\ef,130,570,1780,2410
m,m,4,eh,\ef,150,555,1890,2440
m,m,4,ae,\ae,125,750,1610,2340
m,m,4,ae,\ae,136,770,1580,2350
m,m,4,ah,\vt,132,660,1200,2330
m,m,4,ah,\vt,150,675,1140,2380
m,m,4,aa,\as,125,750,1100,2550
m,m,4,aa,\as,138,800,1120,2500
m,m,4,ao,\ct,143,540,850,2320
m,m,4,ao,\ct,150,555,890,2370
m,m,4,uh,\hs,136,460,960,2210
m,m,4,uh,\hs,156,460,1000,2350
m,m,4,uw,u,140,380,950,2050
m,m,4,uw,u,148,385,850,2330
m,m,4,er,\er\hr,150,590,1400,1840
m,m,4,er,\er\hr,145,555,1430,1730
m,m,5,iy,i,140,310,2310,2820
m,m,5,iy,i,131,260,2250,2850
m,m,5,ih,\ic,137,440,2060,2640
m,m,5,ih,\ic,134,430,1880,2450
m,m,5,eh,\ef,140,580,1910,2500
m,m,5,eh,\ef,137,550,1770,2400
m,m,5,ae,\ae,143,830,1720,2180
m,m,5,ae,\ae,135,750,1690,2320
m,m,5,ah,\vt,136,630,1300,1950
m,m,5,ah,\vt,130,650,1170,2000
m,m,5,aa,\as,131,760,1220,2140
m,m,5,aa,\as,126,720,1260,2020
m,m,5,ao,\ct,136,540,970,1980
m,m,5,ao,\ct,124,550,880,1950
m,m,5,uh,\hs,133,470,1040,1990
m,m,5,uh,\hs,132,490,990,1920
m,m,5,uw,u,141,380,950,2140
m,m,5,uw,u,133,330,800,2130
m,m,5,er,\er\hr,143,560,1510,1800
m,m,5,er,\er\hr,136,510,1460,1700
m,m,6,iy,i,125,312,2350,2800
m,m,6,iy,i,119,330,2430,2870
m,m,6,ih,\ic,133,420,2000,2660
m,m,6,ih,\ic,125,313,2000,2750
m,m,6,eh,\ef,120,600,1860,2500
m,m,6,eh,\ef,114,570,1830,2570
m,m,6,ae,\ae,119,676,1670,2540
m,m,6,ae,\ae,125,725,1687,2500
m,m,6,ah,\vt,118,680,1150,2560
m,m,6,ah,\vt,125,726,1270,2560
m,m,6,aa,\as,125,740,1100,2680
m,m,6,aa,\as,113,670,960,2650
m,m,6,ao,\ct,120,660,1030,2690
m,m,6,ao,\ct,125,720,960,2700
m,m,6,uh,\hs,120,456,1080,2520
m,m,6,uh,\hs,120,450,1140,2600
m,m,6,uw,u,125,313,838,2340
m,m,6,uw,u,125,288,938,2450
m,m,6,er,\er\hr,120,503,1305,1775
m,m,6,er,\er\hr,120,505,1320,1750
m,m,7,iy,i,186,320,2320,3120
m,m,7,iy,i,172,310,2280,3020
m,m,7,ih,\ic,167,470,2000,2660
m,m,7,ih,\ic,170,410,2040,2715
m,m,7,eh,\ef,167,630,1900,2860
m,m,7,eh,\ef,146,614,1840,2770
m,m,7,ae,\ae,143,740,1800,2450
m,m,7,ae,\ae,162,775,1810,2200
m,m,7,ah,\vt,167,620,1240,2410
m,m,7,ah,\vt,160,640,1250,2400
m,m,7,aa,\as,162,650,970,2580
m,m,7,aa,\as,163,650,980,2350
m,m,7,ao,\ct,145,430,720,2450
m,m,7,ao,\ct,171,510,800,2500
m,m,7,uh,\hs,170,460,1120,2150
m,m,7,uh,\hs,170,493,1120,2300
m,m,7,uw,u,175,380,1040,2260
m,m,7,uw,u,200,400,1000,2350
m,m,7,er,\er\hr,167,570,1300,1750
m,m,7,er,\er\hr,157,565,1370,1710
m,m,8,iy,i,105,230,2480,3200
m,m,8,iy,i,109,218,2380,3100
m,m,8,ih,\ic,110,320,2200,2680
m,m,8,ih,\ic,103,206,2130,2570
m,m,8,eh,\ef,107,430,2100,2630
m,m,8,eh,\ef,105,515,1760,2470
m,m,8,ae,\ae,107,514,2060,2600
m,m,8,ae,\ae,106,552,1820,2500
m,m,8,ah,\vt,108,640,1300,2300
m,m,8,ah,\vt,104,624,1350,2410
m,m,8,aa,\as,111,714,1170,2420
m,m,8,aa,\as,97,650,1150,2350
m,m,8,ao,\ct,107,590,965,2500
m,m,8,ao,\ct,109,578,970,2460
m,m,8,uh,\hs,111,467,1110,2400
m,m,8,uh,\hs,105,475,1220,2310
m,m,8,uw,u,107,270,910,2200
m,m,8,uw,u,108,260,975,2320
m,m,8,er,\er\hr,107,460,1400,1790
m,m,8,er,\er\hr,103,425,1410,1760
m,m,9,iy,i,175,316,2200,2800
m,m,9,iy,i,175,280,2275,2775
m,m,9,ih,\ic,167,450,1820,2475
m,m,9,ih,\ic,167,434,1850,2425
m,m,9,eh,\ef,157,582,1725,2375
m,m,9,eh,\ef,158,586,1800,2425
m,m,9,ae,\ae,150,600,1750,2375
m,m,9,ae,\ae,145,582,1775,2375
m,m,9,ah,\vt,145,626,1125,2200
m,m,9,ah,\vt,160,641,1120,2225
m,m,9,aa,\as,144,708,1054,2420
m,m,9,aa,\as,150,705,1050,2375
m,m,9,ao,\ct,146,614,848,2200
m,m,9,ao,\ct,143,600,860,2175
m,m,9,uh,\hs,167,500,1000,2325
m,m,9,uh,\hs,167,500,1000,2325
m,m,9,uw,u,167,334,1150,2200
m,m,9,uw,u,183,312,1020,2300
m,m,9,er,\er\hr,157,518,1305,1570
m,m,9,er,\er\hr,157,504,1210,1510
m,m,10,iy,i,129,260,2260,2820
m,m,10,iy,i,125,250,2200,2825
m,m,10,ih,\ic,146,400,2040,2500
m,m,10,ih,\ic,144,389,2000,2425
m,m,10,eh,\ef,126,500,1870,2500
m,m,10,eh,\ef,125,500,1775,2450
m,m,10,ae,\ae,110,660,1650,2500
m,m,10,ae,\ae,120,624,1700,2475
m,m,10,ah,\vt,122,650,1220,2550
m,m,10,ah,\vt,120,672,1260,2500
m,m,10,aa,\as,114,750,1080,2680
m,m,10,aa,\as,114,777,1026,2625
m,m,10,ao,\ct,115,580,800,2650
m,m,10,ao,\ct,117,585,819,2625
m,m,10,uh,\hs,140,480,950,2500
m,m,10,uh,\hs,127,461,993,2350
m,m,10,uw,u,140,280,950,2300
m,m,10,uw,u,133,266,920,2300
m,m,10,er,\er\hr,128,500,1340,1700
m,m,10,er,\er\hr,133,532,1275,1600
m,m,11,iy,i,146,248,2225,3100
m,m,11,iy,i,140,238,2175,3075
m,m,11,ih,\ic,150,405,1925,2550
m,m,11,ih,\ic,138,416,1940,2600
m,m,11,eh,\ef,147,588,1790,2500
m,m,11,eh,\ef,133,586,1725,2650
m,m,11,ae,\ae,145,725,1700,2425
m,m,11,ae,\ae,127,710,1650,2220
m,m,11,ah,\vt,136,586,1078,2300
m,m,11,ah,\vt,136,627,1038,2360
m,m,11,aa,\as,145,725,1046,2325
m,m,11,aa,\as,131,746,1018,2300
m,m,11,ao,\ct,140,560,840,2500
m,m,11,ao,\ct,140,560,924,2350
m,m,11,uh,\hs,150,495,1080,2275
m,m,11,uh,\hs,143,430,1030,2275
m,m,11,uw,u,162,290,760,2300
m,m,11,uw,u,157,315,850,2025
m,m,11,er,\er\hr,150,511,1561,1876
m,m,11,er,\er\hr,138,530,1450,1887
m,m,12,iy,i,110,220,2410,3000
m,m,12,iy,i,125,240,2440,3280
m,m,12,ih,\ic,120,450,1880,2450
m,m,12,ih,\ic,118,380,1930,2420
m,m,12,eh,\ef,115,560,1650,2300
m,m,12,eh,\ef,123,560,1720,2300
m,m,12,ae,\ae,110,680,1720,2330
m,m,12,ae,\ae,133,630,1680,2280
m,m,12,ah,\vt,110,560,1430,2250
m,m,12,ah,\vt,120,560,1390,2240
m,m,12,aa,\as,108,800,1330,2260
m,m,12,aa,\as,110,740,1240,2280
m,m,12,ao,\ct,120,600,920,2080
m,m,12,ao,\ct,133,580,910,2000
m,m,12,uh,\hs,130,400,1200,2210
m,m,12,uh,\hs,110,420,1230,2230
m,m,12,uw,u,122,300,900,2130
m,m,12,uw,u,123,260,1010,2240
m,m,12,er,\er\hr,125,400,1450,1650
m,m,12,er,\er\hr,128,360,1410,1640
m,m,13,iy,i,142,290,2290,2600
m,m,13,iy,i,135,260,2290,2700
m,m,13,ih,\ic,132,390,1950,2550
m,m,13,ih,\ic,135,400,1900,2450
m,m,13,eh,\ef,124,490,1740,2500
m,m,13,eh,\ef,125,500,1780,2430
m,m,13,ae,\ae,125,660,1630,2500
m,m,13,ae,\ae,132,670,1630,2380
m,m,13,ah,\vt,140,600,1220,2530
m,m,13,ah,\vt,125,600,1210,2430
m,m,13,aa,\as,125,680,1120,2630
m,m,13,aa,\as,128,670,1100,2700
m,m,13,ao,\ct,127,510,720,2450
m,m,13,ao,\ct,120,480,710,2540
m,m,13,uh,\hs,133,380,910,2350
m,m,13,uh,\hs,140,440,1030,2400
m,m,13,uw,u,127,350,720,2750
m,m,13,uw,u,140,380,740,2880
m,m,13,er,\er\hr,128,430,1370,1610
m,m,13,er,\er\hr,135,440,1360,1600
m,m,14,iy,i,114,228,2350,2860
m,m,14,iy,i,118,220,2350,2920
m,m,14,ih,\ic,110,407,2070,2500
m,m,14,ih,\ic,112,420,1900,2450
m,m,14,eh,\ef,106,445,2020,2420
m,m,14,eh,\ef,115,470,2020,2500
m,m,14,ae,\ae,103,721,1680,2400
m,m,14,ae,\ae,109,750,1710,2440
m,m,14,ah,\vt,104,552,1122,2500
m,m,14,ah,\vt,115,580,1150,2600
m,m,14,aa,\as,98,686,1078,2570
m,m,14,aa,\as,103,700,1050,2680
m,m,14,ao,\ct,102,560,665,2620
m,m,14,ao,\ct,106,550,650,2700
m,m,14,uh,\hs,112,448,980,2370
m,m,14,uh,\hs,104,410,940,2370
m,m,14,uw,u,116,232,696,2200
m,m,14,uw,u,117,222,665,2080
m,m,14,er,\er\hr,120,432,1300,1400
m,m,14,er,\er\hr,111,420,1300,1570
m,m,15,iy,i,121,230,2100,2850
m,m,15,iy,i,118,240,2000,2980
m,m,15,ih,\ic,130,365,1900,2340
m,m,15,ih,\ic,119,300,2040,2560
m,m,15,eh,\ef,112,440,1980,2310
m,m,15,eh,\ef,120,410,2050,2500
m,m,15,ae,\ae,133,620,1710,2110
m,m,15,ae,\ae,124,660,1800,2150
m,m,15,ah,\vt,120,660,1000,2380
m,m,15,ah,\vt,110,660,960,2450
m,m,15,aa,\as,122,600,830,2250
m,m,15,aa,\as,119,620,820,2400
m,m,15,ao,\ct,117,500,620,2250
m,m,15,ao,\ct,106,550,700,2550
m,m,15,uh,\hs,140,390,730,2180
m,m,15,uh,\hs,130,360,740,2200
m,m,15,uw,u,131,260,720,2100
m,m,15,uw,u,132,260,740,2040
m,m,15,er,\er\hr,125,450,1230,1600
m,m,15,er,\er\hr,127,460,1300,1650
m,m,16,iy,i,150,300,2355,3250
m,m,16,iy,i,150,300,2460,3280
m,m,16,ih,\ic,160,385,2242,2805
m,m,16,ih,\ic,150,407,2250,2780
m,m,16,eh,\ef,140,504,2090,2720
m,m,16,eh,\ef,146,543,1980,2640
m,m,16,ae,\ae,133,680,1958,2542
m,m,16,ae,\ae,141,708,1840,2535
m,m,16,ah,\vt,150,675,1320,2550
m,m,16,ah,\vt,150,704,1393,2550
m,m,16,aa,\as,137,825,1168,2750
m,m,16,aa,\as,135,840,1210,2680
m,m,16,ao,\ct,143,671,1000,2670
m,m,16,ao,\ct,147,690,968,2660
m,m,16,uh,\hs,143,443,1273,2430
m,m,16,uh,\hs,153,459,1286,2410
m,m,16,uw,u,146,395,1300,2160
m,m,16,uw,u,153,400,1320,2150
m,m,16,er,\er\hr,140,532,1500,1890
m,m,16,er,\er\hr,146,538,1460,1818
m,m,17,iy,i,120,264,2290,2700
m,m,17,iy,i,128,256,2305,2635
m,m,17,ih,\ic,112,380,1880,2440
m,m,17,ih,\ic,115,346,1930,2390
m,m,17,eh,\ef,100,510,1780,2300
m,m,17,eh,\ef,108,520,1730,2275
m,m,17,ae,\ae,100,630,1770,2350
m,m,17,ae,\ae,105,630,1642,2170
m,m,17,ah,\vt,103,601,1273,2130
m,m,17,ah,\vt,105,590,1283,2150
m,m,17,aa,\as,100,750,1150,2440
m,m,17,aa,\as,95,703,1092,2320
m,m,17,ao,\ct,97,565,780,2350
m,m,17,ao,\ct,106,584,849,2460
m,m,17,uh,\hs,105,420,1100,2140
m,m,17,uh,\hs,111,422,1200,2175
m,m,17,uw,u,117,315,1080,2260
m,m,17,uw,u,125,326,1125,2210
m,m,17,er,\er\hr,111,444,1300,1625
m,m,17,er,\er\hr,109,469,1288,1600
m,m,18,iy,i,124,210,2100,3090
m,m,18,iy,i,130,220,2080,3180
m,m,18,ih,\ic,128,280,2000,2710
m,m,18,ih,\ic,130,310,1950,2670
m,m,18,eh,\ef,121,470,1910,2580
m,m,18,eh,\ef,129,490,1930,2650
m,m,18,ae,\ae,116,640,1620,2200
m,m,18,ae,\ae,118,650,1580,2360
m,m,18,ah,\vt,121,610,1100,2230
m,m,18,ah,\vt,126,620,1120,2330
m,m,18,aa,\as,118,700,1100,2240
m,m,18,aa,\as,120,670,1100,2220
m,m,18,ao,\ct,122,460,720,2180
m,m,18,ao,\ct,118,470,690,2200
m,m,18,uh,\hs,129,320,770,1860
m,m,18,uh,\hs,130,310,790,1920
m,m,18,uw,u,140,210,670,1900
m,m,18,uw,u,148,240,730,1850
m,m,18,er,\er\hr,128,390,1320,1550
m,m,18,er,\er\hr,124,420,1240,1510
m,m,19,iy,i,129,190,2650,3280
m,m,19,iy,i,135,190,2700,3170
m,m,19,ih,\ic,132,370,1750,2700
m,m,19,ih,\ic,130,370,1800,2750
m,m,19,eh,\ef,122,370,1680,2560
m,m,19,eh,\ef,125,375,1700,2500
m,m,19,ae,\ae,121,550,1570,2600
m,m,19,ae,\ae,120,530,1610,2650
m,m,19,ah,\vt,118,570,1050,2500
m,m,19,ah,\vt,125,590,1100,2480
m,m,19,aa,\as,112,640,970,2870
m,m,19,aa,\as,122,670,980,2900
m,m,19,ao,\ct,113,560,860,2900
m,m,19,ao,\ct,121,570,820,2820
m,m,19,uh,\hs,125,350,1000,2500
m,m,19,uh,\hs,130,380,920,2370
m,m,19,uw,u,130,250,1000,2100
m,m,19,uw,u,140,210,960,1940
m,m,19,er,\er\hr,130,360,1300,1920
m,m,19,er,\er\hr,133,370,1300,1760
m,m,20,iy,i,127,250,2180,2660
m,m,20,iy,i,131,260,2210,2780
m,m,20,ih,\ic,121,400,1900,2440
m,m,20,ih,\ic,122,350,1980,2480
m,m,20,eh,\ef,116,560,1670,2310
m,m,20,eh,\ef,124,530,1700,2380
m,m,20,ae,\ae,120,680,1470,2280
m,m,20,ae,\ae,119,620,1580,2320
m,m,20,ah,\vt,120,620,1100,2390
m,m,20,ah,\vt,125,640,1110,2370
m,m,20,aa,\as,115,630,980,2330
m,m,20,aa,\as,121,670,940,2380
m,m,20,ao,\ct,112,560,790,2480
m,m,20,ao,\ct,120,610,840,2420
m,m,20,uh,\hs,121,360,860,2200
m,m,20,uh,\hs,120,400,840,2200
m,m,20,uw,u,140,280,670,2140
m,m,20,uw,u,126,250,720,2190
m,m,20,er,\er\hr,120,480,1410,1760
m,m,20,er,\er\hr,121,470,1330,1700
m,m,21,iy,i,155,280,2400,2910
m,m,21,iy,i,150,300,2320,2960
m,m,21,ih,\ic,142,410,2060,2680
m,m,21,ih,\ic,150,450,2050,2670
m,m,21,eh,\ef,135,540,1900,2530
m,m,21,eh,\ef,135,540,1920,2520
m,m,21,ae,\ae,138,620,1800,2440
m,m,21,ae,\ae,140,690,1820,2480
m,m,21,ah,\vt,150,630,1200,2600
m,m,21,ah,\vt,140,680,1290,2600
m,m,21,aa,\as,145,740,1110,2500
m,m,21,aa,\as,143,700,1060,2720
m,m,21,ao,\ct,146,600,970,2570
m,m,21,ao,\ct,138,650,880,2660
m,m,21,uh,\hs,142,430,1130,2440
m,m,21,uh,\hs,143,430,1150,2420
m,m,21,uw,u,142,280,990,2330
m,m,21,uw,u,145,290,1000,2300
m,m,21,er,\er\hr,150,420,1350,1600
m,m,21,er,\er\hr,150,450,1350,1600
m,m,22,iy,i,135,300,2300,2800
m,m,22,iy,i,135,350,2240,2760
m,m,22,ih,\ic,136,410,2200,2680
m,m,22,ih,\ic,138,440,2080,2520
m,m,22,eh,\ef,133,580,1870,2320
m,m,22,eh,\ef,127,520,1900,2400
m,m,22,ae,\ae,130,760,1920,2480
m,m,22,ae,\ae,132,670,1850,2560
m,m,22,ah,\vt,139,810,1110,2100
m,m,22,ah,\vt,131,770,1150,2100
m,m,22,aa,\as,141,700,1040,2120
m,m,22,aa,\as,125,750,1160,2080
m,m,22,ao,\ct,133,670,920,2240
m,m,22,ao,\ct,142,570,850,2250
m,m,22,uh,\hs,140,550,970,2200
m,m,22,uh,\hs,141,490,870,2240
m,m,22,uw,u,150,300,600,2300
m,m,22,uw,u,148,230,570,2100
m,m,22,er,\er\hr,140,560,1520,2100
m,m,22,er,\er\hr,140,540,1570,2050
m,m,23,iy,i,125,240,2100,2900
m,m,23,iy,i,119,240,2150,2860
m,m,23,ih,\ic,130,380,1870,2450
m,m,23,ih,\ic,120,430,1710,2350
m,m,23,eh,\ef,119,580,1770,2500
m,m,23,eh,\ef,117,570,1750,2400
m,m,23,ae,\ae,115,760,1580,2440
m,m,23,ae,\ae,110,715,1500,2300
m,m,23,ah,\vt,124,620,880,2500
m,m,23,ah,\vt,124,650,1000,2520
m,m,23,aa,\as,119,710,950,2520
m,m,23,aa,\as,120,690,960,2520
m,m,23,ao,\ct,125,460,610,2500
m,m,23,ao,\ct,120,470,710,2500
m,m,23,uh,\hs,125,390,900,2100
m,m,23,uh,\hs,125,460,920,2140
m,m,23,uw,u,125,250,690,2080
m,m,23,uw,u,130,270,650,2050
m,m,23,er,\er\hr,122,540,1280,1720
m,m,23,er,\er\hr,118,510,1280,1650
m,m,24,iy,i,148,280,2450,2700
m,m,24,iy,i,160,288,2500,2880
m,m,24,ih,\ic,160,400,2080,2530
m,m,24,ih,\ic,153,384,2110,2500
m,m,24,eh,\ef,138,590,1900,2200
m,m,24,eh,\ef,153,583,1840,2250
m,m,24,ae,\ae,145,680,1850,2400
m,m,24,ae,\ae,140,685,1780,2160
m,m,24,ah,\vt,143,660,1370,2110
m,m,24,ah,\vt,145,680,1300,2100
m,m,24,aa,\as,140,760,1260,2120
m,m,24,aa,\as,135,770,1140,2020
m,m,24,ao,\ct,145,500,800,1850
m,m,24,ao,\ct,132,600,1000,2000
m,m,24,uh,\hs,157,380,1060,1950
m,m,24,uh,\hs,150,470,1220,2150
m,m,24,uw,u,162,324,800,2220
m,m,24,uw,u,139,290,800,2150
m,m,24,er,\er\hr,150,560,1350,1780
m,m,24,er,\er\hr,150,600,1470,1820
m,m,25,iy,i,110,250,2190,3000
m,m,25,iy,i,106,254,2085,2890
m,m,25,ih,\ic,111,330,1967,2670
m,m,25,ih,\ic,108,430,1940,2590
m,m,25,eh,\ef,116,464,2100,2700
m,m,25,eh,\ef,105,504,1995,2780
m,m,25,ae,\ae,94,595,1900,2700
m,m,25,ae,\ae,100,670,1860,2500
m,m,25,ah,\vt,96,620,1200,2420
m,m,25,ah,\vt,105,630,1127,2420
m,m,25,aa,\as,100,750,1160,2360
m,m,25,aa,\as,96,740,1155,2330
m,m,25,ao,\ct,101,460,740,2300
m,m,25,ao,\ct,105,494,789,2420
m,m,25,uh,\hs,113,400,1020,2200
m,m,25,uh,\hs,128,450,1028,2160
m,m,25,uw,u,140,392,1000,2120
m,m,25,uw,u,116,350,898,2140
m,m,25,er,\er\hr,117,547,1340,1688
m,m,25,er,\er\hr,128,512,1280,1570
m,m,26,iy,i,123,246,2185,2730
m,m,26,iy,i,133,267,2280,2800
m,m,26,ih,\ic,140,420,2300,2800
m,m,26,ih,\ic,120,384,2110,2620
m,m,26,eh,\ef,120,480,1920,2540
m,m,26,eh,\ef,112,551,1788,2450
m,m,26,ae,\ae,114,628,1837,2570
m,m,26,ae,\ae,111,622,1890,2560
m,m,26,ah,\vt,114,628,1254,2470
m,m,26,ah,\vt,114,617,1255,2480
m,m,26,aa,\as,117,690,1072,2660
m,m,26,aa,\as,103,630,1000,2530
m,m,26,ao,\ct,117,510,700,2650
m,m,26,ao,\ct,120,504,756,2540
m,m,26,uh,\hs,122,465,990,2440
m,m,26,uh,\hs,125,462,976,2450
m,m,26,uw,u,120,324,708,2440
m,m,26,uw,u,157,387,786,2518
m,m,26,er,\er\hr,122,488,1468,1712
m,m,26,er,\er\hr,118,472,1465,1725
m,m,27,iy,i,138,275,2060,2800
m,m,27,iy,i,136,270,2020,2790
m,m,27,ih,\ic,133,349,2030,2760
m,m,27,ih,\ic,136,340,1940,2560
m,m,27,eh,\ef,120,444,1800,2500
m,m,27,eh,\ef,127,380,1800,2440
m,m,27,ae,\ae,125,688,1600,2300
m,m,27,ae,\ae,122,660,1570,2380
m,m,27,ah,\vt,128,565,1157,2310
m,m,27,ah,\vt,130,550,1150,2250
m,m,27,aa,\as,125,712,1024,2250
m,m,27,aa,\as,125,670,1080,2300
m,m,27,ao,\ct,125,550,913,2360
m,m,27,ao,\ct,126,550,890,2280
m,m,27,uh,\hs,128,360,1028,2160
m,m,27,uh,\hs,140,390,1060,2150
m,m,27,uw,u,133,294,930,2050
m,m,27,uw,u,140,280,1000,2160
m,m,27,er,\er\hr,125,440,1250,1625
m,m,27,er,\er\hr,130,480,1160,1520
m,m,28,iy,i,125,320,2160,2900
m,m,28,iy,i,133,267,2230,3000
m,m,28,ih,\ic,115,440,1750,2400
m,m,28,ih,\ic,116,390,1780,2450
m,m,28,eh,\ef,117,525,1800,2480
m,m,28,eh,\ef,110,520,1750,2390
m,m,28,ae,\ae,111,660,1600,2400
m,m,28,ae,\ae,120,720,1680,2430
m,m,28,ah,\vt,117,600,1250,2300
m,m,28,ah,\vt,125,575,1170,2240
m,m,28,aa,\as,111,730,1160,2340
m,m,28,aa,\as,117,860,1280,2470
m,m,28,ao,\ct,114,560,810,2290
m,m,28,ao,\ct,116,584,840,2280
m,m,28,uh,\hs,130,455,970,2140
m,m,28,uh,\hs,120,456,1040,2038
m,m,28,uw,u,125,350,820,2130
m,m,28,uw,u,128,366,772,2058
m,m,28,er,\er\hr,111,450,1420,1870
m,m,28,er,\er\hr,118,472,1430,1840
m,m,29,iy,i,133,333,2305,3200
m,m,29,iy,i,131,326,2260,3030
m,m,29,ih,\ic,125,375,2188,2750
m,m,29,ih,\ic,133,400,2150,2680
m,m,29,eh,\ef,125,500,1980,2480
m,m,29,eh,\ef,150,480,1950,2340
m,m,29,ae,\ae,116,640,1710,2450
m,m,29,ae,\ae,123,615,1720,2220
m,m,29,ah,\vt,116,583,1110,2360
m,m,29,ah,\vt,117,608,1120,2700
m,m,29,aa,\as,111,777,1170,2600
m,m,29,aa,\as,114,750,1175,2820
m,m,29,ao,\ct,105,630,891,2519
m,m,29,ao,\ct,114,572,924,2660
m,m,29,uh,\hs,125,438,975,2300
m,m,29,uh,\hs,140,420,938,2300
m,m,29,uw,u,133,333,800,2130
m,m,29,uw,u,140,320,840,2150
m,m,29,er,\er\hr,120,480,1320,1870
m,m,29,er,\er\hr,127,483,1335,1844
m,m,30,iy,i,166,267,2300,2940
m,m,30,iy,i,156,220,2300,2900
m,m,30,ih,\ic,154,431,2040,2460
m,m,30,ih,\ic,155,360,2010,2400
m,m,30,eh,\ef,150,565,1950,2500
m,m,30,eh,\ef,180,540,2000,2450
m,m,30,ae,\ae,143,600,2000,2570
m,m,30,ae,\ae,138,590,1950,2460
m,m,30,ah,\vt,157,630,1140,2200
m,m,30,ah,\vt,186,630,1170,2280
m,m,30,aa,\as,146,730,1048,2450
m,m,30,aa,\as,155,730,1130,2320
m,m,30,ao,\ct,150,600,900,2400
m,m,30,ao,\ct,178,640,890,2280
m,m,30,uh,\hs,160,448,960,2200
m,m,30,uh,\hs,196,450,1000,2180
m,m,30,uw,u,167,333,835,2170
m,m,30,uw,u,198,280,750,2170
m,m,30,er,\er\hr,163,488,1300,1600
m,m,30,er,\er\hr,163,490,1380,1620
m,m,31,iy,i,120,312,2380,2900
m,m,31,iy,i,120,300,2350,3000
m,m,31,ih,\ic,140,490,2000,2620
m,m,31,ih,\ic,140,490,1960,2600
m,m,31,eh,\ef,125,640,2000,2620
m,m,31,eh,\ef,111,555,1870,2540
m,m,31,ae,\ae,112,697,1610,2540
m,m,31,ae,\ae,114,684,1634,2510
m,m,31,ah,\vt,115,633,1260,2530
m,m,31,ah,\vt,120,660,1213,2460
m,m,31,aa,\as,112,730,1203,2700
m,m,31,aa,\as,107,752,1125,2620
m,m,31,ao,\ct,108,507,755,2420
m,m,31,ao,\ct,116,538,816,2450
m,m,31,uh,\hs,114,456,1040,2300
m,m,31,uh,\hs,120,480,1120,2160
m,m,31,uw,u,123,344,960,2150
m,m,31,uw,u,125,350,1000,2250
m,m,31,er,\er\hr,112,539,1370,1800
m,m,31,er,\er\hr,117,549,1353,1728
m,m,32,iy,i,146,292,2500,3150
m,m,32,iy,i,133,266,2370,3100
m,m,32,ih,\ic,143,372,2220,2640
